First Crack Detection Results
======================================================================

Audio file: data/raw/25-10-19_1103-costarica-hermosa-5.alog.wav
Total windows: 628
Threshold: 0.5
Window: 5.0s, Overlap: 80%
Min event duration: 2.0s
Pop confirmation: at least 3 pops within 30.0s; min gap merge 10.0s

Detected Events: 2
----------------------------------------------------------------------

Event 1:
  Start: 435.97s
  End: 471.97s
  Duration: 36.00s
  Confidence: 0.9990

Event 2:
  Start: 501.97s
  End: 621.96s
  Duration: 119.99s
  Confidence: 0.9999


======================================================================
All Window Predictions:
----------------------------------------------------------------------
Window 108:  107.99s -  117.99s | Prob: 0.0001
Window 109:  108.99s -  118.99s | Prob: 0.0001
Window 110:  109.99s -  119.99s | Prob: 0.0001
Window 111:  110.99s -  120.99s | Prob: 0.0001
Window 112:  111.99s -  121.99s | Prob: 0.0001
Window 113:  112.99s -  122.99s | Prob: 0.0000
Window 114:  113.99s -  123.99s | Prob: 0.0000
Window 115:  114.99s -  124.99s | Prob: 0.0000
Window 116:  115.99s -  125.99s | Prob: 0.0001
Window 117:  116.99s -  126.99s | Prob: 0.0001
Window 118:  117.99s -  127.99s | Prob: 0.0001
Window 119:  118.99s -  128.99s | Prob: 0.0001
Window 120:  119.99s -  129.99s | Prob: 0.0001
Window 121:  120.99s -  130.99s | Prob: 0.0001
Window 122:  121.99s -  131.99s | Prob: 0.0001
Window 123:  122.99s -  132.99s | Prob: 0.0001
Window 124:  123.99s -  133.99s | Prob: 0.0001
Window 125:  124.99s -  134.99s | Prob: 0.0001
Window 126:  125.99s -  135.99s | Prob: 0.0001
Window 127:  126.99s -  136.99s | Prob: 0.0001
Window 128:  127.99s -  137.99s | Prob: 0.0001
Window 129:  128.99s -  138.99s | Prob: 0.0001
Window 130:  129.99s -  139.99s | Prob: 0.0001
Window 131:  130.99s -  140.99s | Prob: 0.0001
Window 132:  131.99s -  141.99s | Prob: 0.0001
Window 133:  132.99s -  142.99s | Prob: 0.0001
Window 134:  133.99s -  143.99s | Prob: 0.0001
Window 135:  134.99s -  144.99s | Prob: 0.0001
Window 136:  135.99s -  145.99s | Prob: 0.0001
Window 137:  136.99s -  146.99s | Prob: 0.0001
Window 138:  137.99s -  147.99s | Prob: 0.0001
Window 139:  138.99s -  148.99s | Prob: 0.0001
Window 140:  139.99s -  149.99s | Prob: 0.0001
Window 141:  140.99s -  150.99s | Prob: 0.0001
Window 142:  141.99s -  151.99s | Prob: 0.0001
Window 143:  142.99s -  152.99s | Prob: 0.0001
Window 144:  143.99s -  153.99s | Prob: 0.0001
Window 145:  144.99s -  154.99s | Prob: 0.0001
Window 146:  145.99s -  155.99s | Prob: 0.0001
Window 147:  146.99s -  156.99s | Prob: 0.0001
Window 148:  147.99s -  157.99s | Prob: 0.0001
Window 149:  148.99s -  158.99s | Prob: 0.0001
Window 150:  149.99s -  159.99s | Prob: 0.0001
Window 151:  150.99s -  160.99s | Prob: 0.0001
Window 152:  151.99s -  161.99s | Prob: 0.0001
Window 153:  152.99s -  162.99s | Prob: 0.0001
Window 154:  153.99s -  163.99s | Prob: 0.0001
Window 155:  154.99s -  164.99s | Prob: 0.0001
Window 156:  155.99s -  165.99s | Prob: 0.0001
Window 157:  156.99s -  166.99s | Prob: 0.0001
Window 158:  157.99s -  167.99s | Prob: 0.0001
Window 159:  158.99s -  168.99s | Prob: 0.0001
Window 160:  159.99s -  169.99s | Prob: 0.0001
Window 161:  160.99s -  170.99s | Prob: 0.0001
Window 162:  161.99s -  171.99s | Prob: 0.0001
Window 163:  162.99s -  172.99s | Prob: 0.0001
Window 164:  163.99s -  173.99s | Prob: 0.0001
Window 165:  164.99s -  174.99s | Prob: 0.0001
Window 166:  165.99s -  175.99s | Prob: 0.0001
Window 167:  166.99s -  176.99s | Prob: 0.0001
Window 168:  167.99s -  177.99s | Prob: 0.0001
Window 169:  168.99s -  178.99s | Prob: 0.0001
Window 170:  169.99s -  179.99s | Prob: 0.0001
Window 171:  170.99s -  180.99s | Prob: 0.0001
Window 172:  171.99s -  181.99s | Prob: 0.0001
Window 173:  172.99s -  182.99s | Prob: 0.0001
Window 174:  173.99s -  183.99s | Prob: 0.0001
Window 175:  174.99s -  184.99s | Prob: 0.0001
Window 176:  175.99s -  185.99s | Prob: 0.0001
Window 177:  176.99s -  186.99s | Prob: 0.0001
Window 178:  177.99s -  187.99s | Prob: 0.0001
Window 179:  178.99s -  188.99s | Prob: 0.0001
Window 180:  179.99s -  189.99s | Prob: 0.0001
Window 181:  180.99s -  190.99s | Prob: 0.0001
Window 182:  181.99s -  191.99s | Prob: 0.0001
Window 183:  182.99s -  192.99s | Prob: 0.0001
Window 184:  183.99s -  193.99s | Prob: 0.0001
Window 185:  184.99s -  194.99s | Prob: 0.0001
Window 186:  185.99s -  195.99s | Prob: 0.0001
Window 187:  186.99s -  196.99s | Prob: 0.0001
Window 188:  187.99s -  197.99s | Prob: 0.0001
Window 189:  188.99s -  198.99s | Prob: 0.0001
Window 190:  189.99s -  199.99s | Prob: 0.0001
Window 191:  190.99s -  200.99s | Prob: 0.0001
Window 192:  191.99s -  201.99s | Prob: 0.0001
Window 193:  192.99s -  202.99s | Prob: 0.0001
Window 194:  193.99s -  203.99s | Prob: 0.0001
Window 195:  194.99s -  204.99s | Prob: 0.0001
Window 196:  195.99s -  205.99s | Prob: 0.0001
Window 197:  196.99s -  206.99s | Prob: 0.0001
Window 198:  197.99s -  207.99s | Prob: 0.0001
Window 199:  198.99s -  208.99s | Prob: 0.0001
Window 200:  199.99s -  209.99s | Prob: 0.0001
Window 201:  200.99s -  210.99s | Prob: 0.0001
Window 202:  201.99s -  211.99s | Prob: 0.0001
Window 203:  202.99s -  212.99s | Prob: 0.0001
Window 204:  203.99s -  213.99s | Prob: 0.0001
Window 205:  204.99s -  214.99s | Prob: 0.0001
Window 206:  205.99s -  215.99s | Prob: 0.0001
Window 207:  206.99s -  216.99s | Prob: 0.0001
Window 208:  207.99s -  217.99s | Prob: 0.0001
Window 209:  208.99s -  218.99s | Prob: 0.0001
Window 210:  209.99s -  219.99s | Prob: 0.0001
Window 211:  210.99s -  220.99s | Prob: 0.0001
Window 212:  211.99s -  221.99s | Prob: 0.0001
Window 213:  212.99s -  222.99s | Prob: 0.0001
Window 214:  213.99s -  223.99s | Prob: 0.0001
Window 215:  214.99s -  224.99s | Prob: 0.0001
Window 216:  215.99s -  225.99s | Prob: 0.0001
Window 217:  216.99s -  226.99s | Prob: 0.0001
Window 218:  217.99s -  227.99s | Prob: 0.0001
Window 219:  218.99s -  228.99s | Prob: 0.0001
Window 220:  219.99s -  229.99s | Prob: 0.0001
Window 221:  220.99s -  230.99s | Prob: 0.0001
Window 222:  221.99s -  231.99s | Prob: 0.0001
Window 223:  222.99s -  232.99s | Prob: 0.0001
Window 224:  223.99s -  233.99s | Prob: 0.0001
Window 225:  224.99s -  234.99s | Prob: 0.0001
Window 226:  225.99s -  235.99s | Prob: 0.0001
Window 227:  226.99s -  236.99s | Prob: 0.0001
Window 228:  227.99s -  237.99s | Prob: 0.0001
Window 229:  228.99s -  238.99s | Prob: 0.0001
Window 230:  229.99s -  239.99s | Prob: 0.0001
Window 231:  230.99s -  240.99s | Prob: 0.0001
Window 232:  231.99s -  241.99s | Prob: 0.0001
Window 233:  232.99s -  242.99s | Prob: 0.0001
Window 234:  233.99s -  243.99s | Prob: 0.0001
Window 235:  234.99s -  244.99s | Prob: 0.0001
Window 236:  235.99s -  245.99s | Prob: 0.0001
Window 237:  236.99s -  246.99s | Prob: 0.0001
Window 238:  237.99s -  247.99s | Prob: 0.0001
Window 239:  238.99s -  248.99s | Prob: 0.0001
Window 240:  239.99s -  249.99s | Prob: 0.0001
