First Crack Detection Results
======================================================================

Audio file: <PROJECT_ROOT>/data/raw/roast-3-costarica-hermosa-hp-a.wav
Total windows: 125
Threshold: 0.5
Window: 10.0s, Overlap: 50%
Min event duration: 2.0s
Pop confirmation: at least 3 pops within 30.0s; min gap merge 10.0s

Detected Events: 2
----------------------------------------------------------------------

Event 1:
  Start: 450.00s
  End: 465.00s
  Duration: 15.00s
  Confidence: 0.0000

Event 2:
  Start: 515.00s
  End: 630.00s
  Duration: 115.00s
  Confidence: 0.9999


======================================================================
All Window Predictions:
----------------------------------------------------------------------
Window 107:  535.00s -  545.00s | Prob: 0.9996
Window 108:  540.00s -  550.00s | Prob: 0.9994
Window 109:  545.00s -  555.00s | Prob: 0.9998
Window 110:  550.00s -  560.00s | Prob: 0.9998
Window 111:  555.00s -  565.00s | Prob: 0.9995
Window 112:  560.00s -  570.00s | Prob: 0.9994
Window 113:  565.00s -  575.00s | Prob: 0.9996
Window 114:  570.00s -  580.00s | Prob: 0.9994
Window 115:  575.00s -  585.00s | Prob: 0.9995
Window 116:  580.00s -  590.00s | Prob: 0.9995
Window 117:  585.00s -  595.00s | Prob: 0.9996
Window 118:  590.00s -  600.00s | Prob: 0.9996
Window 119:  595.00s -  605.00s | Prob: 0.9999
Window 120:  600.00s -  610.00s | Prob: 0.9999
Window 121:  605.00s -  615.00s | Prob: 0.9999
Window 122:  610.00s -  620.00s | Prob: 0.9360
Window 123:  615.00s -  625.00s | Prob: 0.3870
Window 124:  620.00s -  630.00s | Prob: 0.9977
